id,kind,title,source,family,status
cb-0001,conjecture,Barnette’s conjecture,original-100-inventory,,open
cb-0002,conjecture,Graceful Tree conjecture,original-100-inventory,,open
cb-0003,conjecture,Vertex Reconstruction conjecture,original-100-inventory,,open
cb-0004,conjecture,Edge Reconstruction conjecture,original-100-inventory,,open
cb-0005,conjecture,Erdős–Gyárfás conjecture,original-100-inventory,,open
cb-0006,conjecture,Hoffmann-Ostenhof’s 3-Decomposition conjecture,original-100-inventory,,open
cb-0007,conjecture,Sheehan’s conjecture,original-100-inventory,,open
cb-0008,conjecture,Kotzig’s \(P_k\)-graph conjecture,original-100-inventory,,open
cb-0009,conjecture,Jaeger’s Petersen Coloring conjecture,original-100-inventory,,open
cb-0010,conjecture,Berge–Fulkerson conjecture,original-100-inventory,,open
cb-0011,conjecture,Fan–Raspaud conjecture,original-100-inventory,,open
cb-0012,conjecture,Tutte’s 5-Flow conjecture,original-100-inventory,,open
cb-0013,conjecture,Tutte’s 3-Flow conjecture,original-100-inventory,,open
cb-0014,conjecture,Bouchet’s 6-Flow conjecture,original-100-inventory,,open
cb-0015,conjecture,Caccetta–Häggkvist conjecture,original-100-inventory,,open
cb-0016,conjecture,Bermond–Thomassen conjecture,original-100-inventory,,open
cb-0017,conjecture,The 1/3–2/3 conjecture,original-100-inventory,,open
cb-0018,conjecture,Prime-power conjecture for finite projective planes,original-100-inventory,,open
cb-0019,conjecture,Seymour’s Second Neighborhood conjecture,original-100-inventory,,open
cb-0020,conjecture,Conway’s Thrackle conjecture,original-100-inventory,,open
cb-0021,conjecture,Harary–Hill conjecture,original-100-inventory,,open
cb-0022,conjecture,Zarankiewicz’s complete-bipartite crossing conjecture,original-100-inventory,,open
cb-0023,conjecture,Albertson’s conjecture,original-100-inventory,,open
cb-0024,conjecture,Hadwiger’s conjecture,original-100-inventory,,open
cb-0025,conjecture,Total Coloring conjecture,original-100-inventory,,open
cb-0026,conjecture,List Edge Coloring conjecture,original-100-inventory,,open
cb-0027,conjecture,Acyclic Edge Coloring conjecture,original-100-inventory,,open
cb-0028,conjecture,Erdős–Nešetřil Strong Chromatic Index conjecture,original-100-inventory,,open
cb-0029,conjecture,Wegner’s planar graph-square conjecture,original-100-inventory,,open
